Year,Country Code,"Net trade in goods and services (BoP, current US$)",GDP (current US$),Consumer price index (2010 = 100),"Unemployment, total (% of total labor force) (national estimate)","Exports of goods and services (BoP, current US$)","Imports of goods and services (BoP, current US$)","Foreign direct investment, net (BoP, current US$)","Official exchange rate (LCU per US$, period average)"
2002 [YR2002],CAN,32839901425.9662,760649334098.005,85.8543216943331,7.665,303338703136.931,270498801710.964,4749229277.95075,1.57034283416667
2003 [YR2003],CAN,34073822805.1472,895540646634.787,88.2226674298798,7.574,329143740782.277,295069917977.13,16417567996.3288,1.4010145475
2004 [YR2004],CAN,44846759262.6837,1026690238278.25,89.8611906124785,7.185,381726288257.125,336879528994.442,43370579702.622,1.301281595
2005 [YR2005],CAN,45678110612.9023,1173108598778.68,91.850314825415,6.758,430853577575.864,385175466962.962,1727389338.84794,1.21140513416667
2006 [YR2006],CAN,35204360382.2795,1319264809590.97,93.689181453921,6.484,464880113739.585,429675753357.305,-13950022417.3474,1.13434472583333
2007 [YR2007],CAN,30611671625.0845,1468820407783.26,95.6926159129937,6.156,501654730157.097,471043058532.012,-55310207533.9084,1.07404562166667
2008 [YR2008],CAN,28144247478.8099,1552989690721.65,97.9607899255867,6.284,535719719575.132,507575472096.322,18568974469.1936,1.06708691833333
2009 [YR2009],CAN,-20294599835.7533,1374625142157.29,98.2541499713795,8.46,392141630610.373,412436230446.126,16787996095.9599,1.1415354059127
2010 [YR2010],CAN,-30874997989.8312,1617343367486.26,100,8.178,469288008080.745,500163006070.577,6626667134.17278,1.03011273517598
2011 [YR2011],CAN,-21682664821.6812,1793326630174.52,102.912135088724,7.637,546776957186.172,568459622007.853,11756393310.4902,0.989258158636364
2012 [YR2012],CAN,-34518334882.5215,1828366481521.6,104.471951917573,7.392,554961465410.873,589479800293.395,12879466785.8116,0.999364743593074
2013 [YR2013],CAN,-28982082930.2642,1846597421834.98,105.452203777905,7.143,560082523492.079,589064606422.439,-12563236012.7314,1.03013736373016
2014 [YR2014],CAN,-16320998998.6071,1805749878439.94,107.462793360046,7.023,573305506396.425,589626505395.032,805191688.449753,1.10474713237886
2015 [YR2015],CAN,-38583775871.449,1556508816217.14,108.672009158557,6.945,496137259587.928,534721035459.451,23927632715.3373,1.27878620362554
2016 [YR2016],CAN,-36241676908.6055,1527994741907.43,110.224670864339,7.038,481615868845.151,517857545753.834,33404095512.7527,1.3256151637482
2017 [YR2017],CAN,-36237673595.1705,1649265644244.09,111.984831139096,6.426,518864192859.946,555101866455.117,52829985894.7131,1.29793584646039
2018 [YR2018],CAN,-33732774271.5122,1725329192783.02,114.524899828277,5.837,557656145915.904,591388920187.493,20156533320.4923,1.29581792813534
2019 [YR2019],CAN,-25538102775.714,1743725183672.52,116.757298225529,5.69,564128218247.912,589666321023.626,26965431145.1468,1.32679336266012
2020 [YR2020],CAN,-36499244170.9959,1655684730000.19,117.594447624499,9.657,489086375745.01,525585619916.006,18306166114.2054,1.34115267222386
2021 [YR2021],CAN,117851617.809494,2007472181464.15,121.587006296508,7.527,626676188042.881,626558336424.992,44529088999.5606,1.2538769021268
2022 [YR2022],CAN,3078327810.7168,2161483369422.01,129.858328563251,5.28,731810335375.816,728732007565.1,37342988263.1283,1.30155477474355
2023 [YR2023],CAN,-9809215765.90662,2140085567791.45,134.895535203205,5.415,717677249723.986,726138559866.556,39237439459.954,1.3499086407939
1983 [YR1983],ITA,170696031.837555,559869179791.72,53.7750382727129,7.918,125212890354.372,87735264903.6923,828615354.872067,1518.84833333283
1984 [YR1984],ITA,4408261850.63534,530683779929.445,57.9016285699203,9.533,127385577956.331,93373934610.9911,567836894.032099,1756.96083333183
1985 [YR1985],ITA,4852844476.00931,553138414367.061,61.2779302820743,10.259,132509046255.836,97194747724.9877,673853048.955618,1909.439166664
1986 [YR1986],ITA,8703260368.15092,771470783218.108,62.8334864241848,10.23,163598668255.738,111492188824.669,2605984591.28404,1490.80999999875
1987 [YR1987],ITA,2606972922.94109,934173305685.911,64.9000158369846,10.735,193443755928.364,141310367529.411,-2101110971.6406,1296.07
1988 [YR1988],ITA,3031316965.3685,1018847043277.17,66.65284537824,10.18,215673032711.126,155859542033.804,-2097581265.59723,1301.6275
1989 [YR1989],ITA,3292588064.60393,1025211803413.53,68.9845633391402,9.618,232015952563.148,172109422787.566,-50705837.9363794,1372.09333333333
1990 [YR1990],ITA,2151443711.41891,1269179616913.63,71.1881257808513,9.36,285334911479.438,215178555882.662,1005044782.63723,1198.10166666667
1991 [YR1991],ITA,6695752274.77354,1269276828275.78,73.4756902285804,9.134,289271661957.651,212626017061.056,5209240507.89156,1240.61333333333
1992 [YR1992],ITA,21489459170.5194,1401465923172.24,75.2124795438948,10.203,319207509078.733,232435430627.436,1170141467.79439,1232.40583333333
1993 [YR1993],ITA,24357080634.6991,1322815612694,76.7952981752274,11.321,285421050687.19,185413252974.222,3487994303.03635,1573.66586666667
1994 [YR1994],ITA,25095487280.4917,1393982750472.59,78.0666561086769,12.593,306331496171.708,204641162377.575,3038264199.92199,1612.44498333333
1995 [YR1995],ITA,28971201036.2201,1601094756209.75,79.4691090816308,11.834,362717041241.79,244827130012.533,2157553236.26946,1628.93315833333
1996 [YR1996],ITA,31189392321.5963,1605675086549.56,81.0448890531243,12.367,365375478068.312,249935510451.128,5158060151.91964,1542.94696666667
1997 [YR1997],ITA,43524973976.1099,1452884917959.09,82.0206232733287,12.566,366861237025.893,253857763286.29,6714677948.90125,1703.09690833333
1998 [YR1998],ITA,42170696536.8382,1503108739159.44,82.5546815886255,12.074,387982971657.585,265732880016.333,9814894092.50167,1736.20738333333
1999 [YR1999],ITA,37920062793.022,1493151737698.46,82.998117158493,11.981,403178240660.602,268948068722.055,-6679306475.60436,0.938283072395239
2000 [YR2000],ITA,12920448306.6648,1365639660792.16,84.3891323092083,10.218,390238669734.531,283873770906.61,-6680942868.07591,1.08270508132601
2001 [YR2001],ITA,17867386311.9336,1377657339291.34,85.768709637685,8.61,391797875796.14,285541171263.876,1491397212.77082,1.11653308564468
2002 [YR2002],ITA,27607351106.5107,1501409382971.38,87.4183955374896,8.702,418705150497.578,302471990663.932,-5733738820.62911,1.05755899623965
